Gene,Pearson_Corr_Size,P_Value_Size,BH_Corrected_P_Value_Size,Pearson_Corr_KRN,P_Value_KRN,BH_Corrected_P_Value_KRN
GRMZM2G064732,0.26364661763926606,0.21319913467300444,0.9984265756175531,0.3153927091502059,0.133293624241105,0.9987071952047535
GRMZM2G017254,0.07390245432878947,0.7314562723339796,0.9984265756175531,0.08469641293129698,0.6939620218125776,0.9987071952047535
GRMZM2G016511,-0.19680076726474155,0.35667813983985286,0.9984265756175531,-0.3962606984952232,0.055243218622752346,0.9987071952047535
GRMZM2G343157,-0.026424737566410846,0.9024519706603573,0.9984265756175531,-0.1476282328093611,0.49119720329380173,0.9987071952047535
GRMZM2G445634,-0.1784327760012714,0.40416887109259353,0.9984265756175531,0.2801215893717577,0.18491327133043406,0.9987071952047535
GRMZM2G445602,-0.1559944539234143,0.46668002611172527,0.9984265756175531,-0.03640579831483073,0.8658865197953198,0.9987071952047535
GRMZM2G115182,0.2904561992786955,0.16855076226690605,0.9984265756175531,0.3720063618157854,0.07344779934233249,0.9987071952047535
AC206951.3_FG017,0.030834645365709137,0.8862682151964277,0.9984265756175531,-0.005052380757793386,0.9813070840805647,0.9987071952047535
GRMZM2G153393,0.08413070112651129,0.6959107711960204,0.9984265756175531,0.2658868251988224,0.20919173416873552,0.9987071952047535
GRMZM2G109480,-0.3231690263667261,0.1234745728207169,0.9984265756175531,-0.5587803465763275,0.004536242634040726,0.9791568757839255
GRMZM2G109589,0.059685525545984525,0.7817526892332061,0.9984265756175531,0.18492132314134493,0.3870058141681344,0.9987071952047535
GRMZM2G113401,-0.4035014160761755,0.050551423330852344,0.9984265756175531,-0.49949556912332527,0.012950882167045489,0.9987071952047535
GRMZM2G358311,-0.04715912952851859,0.8267905557680172,0.9984265756175531,-0.16891131178224045,0.4301046228229564,0.9987071952047535
GRMZM2G023575,-0.3615904394371534,0.08253566470027757,0.9984265756175531,-0.21712051865750046,0.3081510285061051,0.9987071952047535
GRMZM2G024099,0.2675879280754652,0.206182816723136,0.9984265756175531,0.028411065191387773,0.8951573719294063,0.9987071952047535
GRMZM2G025078,0.21041282723237317,0.323698337387812,0.9984265756175531,0.16070212716157245,0.4531675311786982,0.9987071952047535
GRMZM5G821686,0.05583313121307061,0.7955384491077281,0.9984265756175531,-0.012232714954096896,0.9547598332588646,0.9987071952047535
GRMZM2G398848,-0.11656680884258126,0.5875235841645465,0.9984265756175531,0.16244304237065313,0.44822313560988636,0.9987071952047535
GRMZM2G009326,0.06217650042475826,0.7728723080725034,0.9984265756175531,-0.09779088891692297,0.649402059154256,0.9987071952047535
